State,Regular,Midgrade,Premium,Diesel
Alaska,$3.10 ,$3.17 ,$3.30 ,$2.99 
Alabama,$2.48 ,$2.77 ,$3.08 ,$2.87 
Arkansas,$2.48 ,$2.73 ,$3.00 ,$2.83 
Arizona,$2.93 ,$3.14 ,$3.36 ,$3.04 
California,$3.91 ,$4.04 ,$4.15 ,$4.01 
Colorado,$2.61 ,$2.87 ,$3.14 ,$2.94 
Connecticut,$2.77 ,$3.03 ,$3.25 ,$3.25 
District of Columbia,$2.89 ,$3.38 ,$3.53 ,$3.20 
Delaware,$2.58 ,$2.89 ,$3.13 ,$2.96 
Florida,$2.79 ,$3.09 ,$3.37 ,$3.00 
Georgia,$2.63 ,$2.93 ,$3.23 ,$3.02 
Hawaii,$3.55 ,$3.68 ,$3.85 ,$4.23 
Iowa,$2.67 ,$2.77 ,$3.15 ,$2.97 
Idaho,$2.69 ,$2.82 ,$2.99 ,$3.07 
Illinois,$2.89 ,$3.23 ,$3.61 ,$2.91 
Indiana,$2.82 ,$3.08 ,$3.39 ,$3.06 
Kansas,$2.59 ,$2.80 ,$3.02 ,$2.89 
Kentucky,$2.66 ,$2.95 ,$3.25 ,$2.90 
Louisiana,$2.52 ,$2.79 ,$3.06 ,$2.81 
Massachusetts,$2.62 ,$2.86 ,$3.05 ,$3.08 
Maryland,$2.71 ,$3.05 ,$3.28 ,$3.04 
Maine,$2.64 ,$2.90 ,$3.13 ,$3.16 
Michigan,$2.86 ,$3.12 ,$3.45 ,$3.04 
Minnesota,$2.67 ,$2.84 ,$3.12 ,$2.98 
Missouri,$2.55 ,$2.77 ,$3.01 ,$2.79 
Mississippi,$2.48 ,$2.74 ,$3.04 ,$2.79 
Montana,$2.66 ,$2.86 ,$3.14 ,$2.99 
North Carolina,$2.66 ,$2.93 ,$3.23 ,$2.95 
North Dakota,$2.68 ,$2.87 ,$3.06 ,$2.96 
Nebraska,$2.70 ,$2.77 ,$3.10 ,$2.95 
New Hampshire,$2.56 ,$2.82 ,$3.04 ,$3.03 
New Jersey,$2.75 ,$3.04 ,$3.21 ,$3.16 
New Mexico,$2.60 ,$2.84 ,$3.06 ,$2.97 
Nevada,$3.17 ,$3.32 ,$3.48 ,$3.20 
New York,$2.78 ,$3.04 ,$3.26 ,$3.24 
Ohio,$2.64 ,$2.94 ,$3.26 ,$2.92 
Oklahoma,$2.56 ,$2.77 ,$2.96 ,$2.81 
Oregon,$3.22 ,$3.38 ,$3.54 ,$3.18 
Pennsylvania,$2.93 ,$3.20 ,$3.46 ,$3.47 
Rhode Island,$2.61 ,$2.86 ,$3.07 ,$3.10 
South Carolina,$2.50 ,$2.78 ,$3.07 ,$2.84 
South Dakota,$2.71 ,$2.78 ,$3.11 ,$2.96 
Tennessee,$2.57 ,$2.85 ,$3.14 ,$2.93 
Texas,$2.54 ,$2.81 ,$3.07 ,$2.80 
Utah,$2.58 ,$2.71 ,$2.86 ,$3.03 
Virginia,$2.54 ,$2.87 ,$3.15 ,$2.91 
Vermont,$2.67 ,$2.91 ,$3.15 ,$3.13 
Washington,$3.32 ,$3.49 ,$3.64 ,$3.32 
Wisconsin,$2.77 ,$3.06 ,$3.44 ,$2.98 
West Virginia,$2.73 ,$2.97 ,$3.24 ,$3.08 
Wyoming,$2.59 ,$2.78 ,$2.99 ,$3.08 
US Total,$2.75,$2.98,$3.23,$3.06
,,,,
